Frame,Method,Sharpness_Before,Sharpness_After
1,median_contrast,145.1856345913904,108.01137239535042
1,median_hist_eq,3104.266600709972,651.2940236367721
1,gaussian_contrast,88.98615275715626,147.98242837850617
1,gaussian_hist_eq,1830.4975881002626,1361.689827979105
2,median_contrast,85.43735553370618,102.34890160912586
2,median_hist_eq,1607.3705686258259,500.9508219227878
2,gaussian_contrast,84.02229557791756,147.33971542526518
2,gaussian_hist_eq,1528.531269546696,1182.6325223519564
3,median_contrast,83.9947792679463,101.45677766428442
3,median_hist_eq,1462.3854200759583,461.85412220294324
3,gaussian_contrast,87.65179140389105,150.63647734775245
3,gaussian_hist_eq,1476.6081285911002,1108.993618075361
4,median_contrast,93.39998030972797,103.52557602922563
4,median_hist_eq,1719.2613167218574,522.5693406547831
4,gaussian_contrast,90.50088580730916,153.32403048551882
4,gaussian_hist_eq,1704.2716189828745,1237.5090130305914
5,median_contrast,93.43727911441432,105.34597094867331
5,median_hist_eq,1856.578584578606,557.1249558039456
5,gaussian_contrast,95.03099476259008,157.45934671921785
5,gaussian_hist_eq,1860.1875240793765,1294.2945029800517
6,median_contrast,92.12132414450258,104.96558127074263
6,median_hist_eq,2243.2780894181215,646.7812352998967
6,gaussian_contrast,90.71898214295776,153.5177201790481
6,gaussian_hist_eq,2156.57916402612,1470.0684669876712
7,median_contrast,80.1301452104738,101.12412945078827
7,median_hist_eq,2528.0143275275773,726.4697837051668
7,gaussian_contrast,76.85358721627719,141.92110960457342
7,gaussian_hist_eq,2354.665247797903,1596.134592107388
8,median_contrast,77.92104843727293,100.26272698840177
8,median_hist_eq,3036.8861734269067,845.8874685600572
8,gaussian_contrast,69.36926591196654,133.9717474355022
8,gaussian_hist_eq,2739.725978203007,1806.8563991147
9,median_contrast,81.01611819006325,101.30404508777548
9,median_hist_eq,3642.205609844215,979.219844182522
9,gaussian_contrast,75.49997120548869,139.4606125406705
9,gaussian_hist_eq,3152.0525854313155,2083.002239425068
10,median_contrast,74.08805069635763,98.89999984492339
10,median_hist_eq,2460.7123850802654,727.71016562061
10,gaussian_contrast,71.72384406522693,136.0900973757523
10,gaussian_hist_eq,2325.6216641536944,1647.362070157868
11,median_contrast,73.31313553120314,99.8368848546481
11,median_hist_eq,1730.707211332902,551.2169228809188
11,gaussian_contrast,75.87161215858232,139.5878446655431
11,gaussian_hist_eq,1751.6893938883156,1303.161321637634
12,median_contrast,71.30532536024873,99.34708826446182
12,median_hist_eq,1552.204486566912,514.6070679743766
12,gaussian_contrast,73.82708645320935,138.8621292956087
12,gaussian_hist_eq,1624.7033956991072,1228.8657343051468
13,median_contrast,80.88277575817473,101.72528794108473
13,median_hist_eq,1319.5358467694964,446.4400314424144
13,gaussian_contrast,81.24066120222905,145.4054218715519
13,gaussian_hist_eq,1333.9958519276356,1029.0702187513136
14,median_contrast,94.25898348252895,104.17678550423739
14,median_hist_eq,1652.1784048524441,499.3194207901407
14,gaussian_contrast,89.20370276960783,152.1469107585796
14,gaussian_hist_eq,1511.8229383836313,1130.5192165733772
15,median_contrast,82.37585649740437,102.34790092578315
15,median_hist_eq,1628.1100549908897,514.7841082720413
15,gaussian_contrast,96.17657753304482,158.26834062828078
15,gaussian_hist_eq,1647.6386582359762,1225.8447586569312
16,median_contrast,128.0852236315927,108.17682022670992
16,median_hist_eq,2419.6331054644634,568.1847439867616
16,gaussian_contrast,96.68834849963066,156.9480815023338
16,gaussian_hist_eq,1680.5914115497799,1223.7721481654044
17,median_contrast,99.67925107910612,109.82115114970226
17,median_hist_eq,1763.4622223618426,567.2241037981778
17,gaussian_contrast,103.77452009550053,167.0471757578658
17,gaussian_hist_eq,1760.108043484356,1299.8579630225863
18,median_contrast,109.43607534573754,112.91072912775644
18,median_hist_eq,2263.036722206705,695.5649626238755
18,gaussian_contrast,109.22521039589427,172.87477685496012
18,gaussian_hist_eq,2126.901097508307,1520.4534332213482
19,median_contrast,135.75780512369508,123.3999514504237
19,median_hist_eq,2357.084940516207,724.3143206191871
19,gaussian_contrast,125.18864294726993,189.85167086952973
19,gaussian_hist_eq,2085.2503416227337,1528.045221361877
20,median_contrast,114.53349713307553,112.77544670252288
20,median_hist_eq,2074.045621707789,629.171801510507
20,gaussian_contrast,111.16816861511549,173.64170560215496
20,gaussian_hist_eq,1905.4928742499096,1447.483006151538
21,median_contrast,134.78826974266792,121.14727519357467
21,median_hist_eq,2101.178674022613,671.1688920056669
21,gaussian_contrast,134.3259813161207,198.79818669819403
21,gaussian_hist_eq,1952.651568603569,1488.366069971291
22,median_contrast,173.1422323071421,135.78717964600006
22,median_hist_eq,3046.905920253522,921.8749543925785
22,gaussian_contrast,166.29163642283922,231.0935946879656
22,gaussian_hist_eq,2684.953723213461,1928.6037633096844
23,median_contrast,167.3893006072642,134.5480054530027
23,median_hist_eq,3522.492914161784,1046.7531149961574
23,gaussian_contrast,162.7847091829346,229.12632725740522
23,gaussian_hist_eq,3103.4733554038303,2073.336333523834
24,median_contrast,164.03363434956773,130.01996084637065
24,median_hist_eq,3368.4150274288745,977.275254364598
24,gaussian_contrast,148.93736482735093,212.03398812406294
24,gaussian_hist_eq,2961.7129307428377,2030.8699367410914
25,median_contrast,168.59356196258298,136.98092234689196
25,median_hist_eq,3432.0149306483436,1032.817792353808
25,gaussian_contrast,171.51367939205605,235.32979070183615
25,gaussian_hist_eq,3038.1554523091913,2090.410542605817
26,median_contrast,188.5755351860425,141.03439329758854
26,median_hist_eq,3886.672802634437,1123.7917294745582
26,gaussian_contrast,184.79817094429367,250.04474241924612
26,gaussian_hist_eq,3238.1189896999385,2198.7499500552494
27,median_contrast,202.7800610727764,150.97975083681706
27,median_hist_eq,3598.978727553947,1086.8073368359912
27,gaussian_contrast,187.51376569032206,255.3417300836644
27,gaussian_hist_eq,2872.1903983118646,2033.1842397261833
28,median_contrast,235.2299692030194,161.58573015863433
28,median_hist_eq,3349.8158497611125,1028.0518876622555
28,gaussian_contrast,195.6591530687936,266.12139870916286
28,gaussian_hist_eq,2555.9175718783818,1811.3081253752296
29,median_contrast,234.211421041583,160.9464845397456
29,median_hist_eq,2844.1396205217675,894.9502852585864
29,gaussian_contrast,179.15443242312847,249.82911851406428
29,gaussian_hist_eq,2165.511121696461,1544.6852816108142
30,median_contrast,204.01651477862606,151.33240590180412
30,median_hist_eq,2728.7664287369325,849.0532881058595
30,gaussian_contrast,167.9805253754656,239.84735151694915
30,gaussian_hist_eq,2325.397553640542,1560.8991898473034
